"Time_ka","ecc_LA11"
50452,0.040038773
50453,0.041016378
50454,0.041955443
50455,0.042873024
50456,0.043754811
50457,0.044621468
50458,0.045472612
50459,0.046222364
50460,0.047053977
50461,0.047783008
50462,0.048476088
50463,0.04914771
50464,0.049808663
50465,0.05038815
50466,0.050929642
50467,0.051455344
50468,0.051909803
50469,0.052315597
50470,0.052636734
50471,0.053001995
50472,0.053181306
50473,0.053386112
50474,0.053559213
50475,0.053584027
50476,0.053653265
50477,0.053622092
50478,0.053547933
50479,0.053415542
50480,0.053206193
50481,0.053004505
50482,0.052696146
50483,0.052291706
50484,0.051958507
50485,0.051453905
50486,0.050933355
50487,0.050405892
50488,0.049752974
50489,0.049128177
50490,0.048348216
50491,0.047627714
50492,0.046804154
50493,0.045903848
50494,0.045033154
50495,0.044089889
50496,0.043054798
50497,0.042084659
50498,0.041000656
50499,0.039920011
50500,0.038774043
50501,0.037647575
50502,0.036473439
50503,0.035228035
50504,0.034019482
50505,0.03276915
50506,0.031450809
50507,0.030155303
50508,0.028846388
50509,0.027483858
50510,0.026145062
50511,0.024745263
50512,0.023426469
50513,0.021995763
50514,0.020607528
50515,0.019267076
50516,0.017828609
50517,0.016457267
50518,0.015101906
50519,0.013709648
50520,0.012322062
50521,0.01098504
50522,0.009611507
50523,0.00827497
50524,0.006904268
50525,0.005599418
50526,0.004297255
50527,0.002913669
50528,0.001702081
50529,0.000394433
50530,0.000879204
50531,0.00209462
50532,0.003311596
50533,0.0045076
50534,0.005669394
50535,0.006828416
50536,0.007903017
50537,0.009072756
50538,0.010100867
50539,0.011165933
50540,0.012231804
50541,0.01321775
50542,0.014224878
50543,0.015180513
50544,0.016159023
50545,0.017076754
50546,0.017947619
50547,0.018892947
50548,0.019741403
50549,0.020527035
50550,0.021422257
50551,0.022158234
50552,0.022945566
50553,0.023671367
50554,0.024378466
50555,0.025071861
50556,0.025700495
50557,0.026341447
50558,0.026949833
50559,0.027498625
50560,0.028036693
50561,0.028597321
50562,0.02901967
50563,0.029497267
50564,0.029951158
50565,0.03030967
50566,0.030691868
50567,0.031004463
50568,0.031353947
50569,0.031579067
50570,0.031813894
50571,0.032055376
50572,0.032210955
50573,0.032323447
50574,0.032482493
50575,0.032520499
50576,0.032590239
50577,0.032583386
50578,0.032601777
50579,0.032546292
50580,0.032433194
50581,0.032394272
50582,0.032200382
50583,0.032027411
50584,0.031865304
50585,0.031606095
50586,0.031352806
50587,0.031060467
50588,0.030725348
50589,0.030437748
50590,0.029965626
50591,0.029634417
50592,0.029212487
50593,0.028720563
50594,0.028305693
50595,0.027828396
50596,0.027350723
50597,0.026861204
50598,0.026375342
50599,0.025911632
50600,0.025390774
50601,0.02491836
50602,0.024479235
50603,0.023966092
50604,0.023551991
50605,0.023129477
50606,0.022714911
50607,0.022373541
50608,0.021980181
50609,0.02176155
50610,0.021428922
50611,0.021210619
50612,0.021086629
50613,0.020915363
50614,0.020888318
50615,0.020850323
50616,0.020937283
50617,0.021021273
50618,0.021143219
50619,0.021379756
50620,0.021615709
50621,0.021828693
50622,0.022173916
50623,0.022486968
50624,0.022835089
50625,0.023174282
50626,0.023582482
50627,0.023991032
50628,0.024366034
50629,0.024812275
50630,0.025246121
50631,0.025656053
50632,0.026072877
50633,0.026510268
50634,0.026895284
50635,0.02731126
50636,0.02766662
50637,0.02807718
50638,0.028386371
50639,0.028706591
50640,0.02906094
50641,0.029285415
50642,0.029543867
50643,0.029776569
50644,0.029968645
50645,0.030108036
50646,0.030238174
50647,0.030360923
50648,0.03043455
50649,0.030461326
50650,0.030503558
50651,0.030555094
50652,0.030450969
50653,0.030471544
50654,0.030371326
50655,0.030261404
50656,0.03014432
50657,0.029966574
50658,0.029783591
50659,0.029533225
50660,0.029270591
50661,0.029013171
50662,0.028612154
50663,0.028284364
50664,0.027895318
50665,0.027442235
50666,0.027016618
50667,0.026496903
50668,0.026066818
50669,0.025459438
50670,0.024916328
50671,0.024391173
50672,0.023731955
50673,0.023115176
50674,0.022513244
50675,0.021788783
50676,0.021138072
50677,0.020381749
50678,0.019652971
50679,0.018873156
50680,0.018020492
50681,0.017255626
50682,0.01634256
50683,0.015455172
50684,0.014581188
50685,0.013652053
50686,0.012711768
50687,0.011770829
50688,0.010859956
50689,0.009895056
50690,0.008950561
50691,0.008038563
50692,0.007169229
50693,0.006284143
50694,0.005557666
50695,0.00493359
50696,0.004549004
50697,0.004412518
50698,0.004590586
50699,0.005189629
50700,0.005858252
50701,0.006808419
50702,0.007843286
50703,0.008989023
50704,0.010174232
50705,0.011355465
50706,0.012683373
50707,0.01390244
50708,0.015181354
50709,0.016493527
50710,0.017762432
50711,0.019058645
50712,0.020339719
50713,0.021601972
50714,0.022943073
50715,0.024128163
50716,0.02545362
50717,0.026711393
50718,0.027911266
50719,0.02919665
50720,0.030403483
50721,0.031606736
50722,0.032783725
50723,0.033958263
50724,0.035102199
50725,0.036179849
50726,0.037256361
50727,0.038335142
50728,0.039288655
50729,0.040254839
50730,0.041206245
50731,0.042046324
50732,0.042894892
50733,0.043649329
50734,0.044445967
50735,0.045094068
50736,0.0457484
50737,0.046384532
50738,0.046916395
50739,0.047440926
50740,0.047921578
50741,0.048340584
50742,0.04869827
50743,0.049042905
50744,0.049286791
50745,0.049503035
50746,0.049616301
50747,0.049738071
50748,0.049768348
50749,0.049683155
50750,0.049624652
50751,0.049512911
50752,0.049219369
50753,0.049032589
50754,0.04867748
50755,0.048349639
50756,0.047934036
50757,0.047463049
50758,0.047036692
50759,0.046433355
50760,0.04589425
50761,0.045290449
50762,0.044580973
50763,0.043917781
50764,0.043169184
50765,0.042371115
50766,0.041551622
50767,0.040652703
50768,0.039796803
50769,0.038789057
50770,0.037793165
50771,0.036845523
50772,0.03571833
50773,0.0346773
50774,0.033561266
50775,0.032454964
50776,0.031294913
50777,0.030121554
50778,0.028982268
50779,0.027760411
50780,0.026559251
50781,0.025364096
50782,0.024136946
50783,0.022864385
50784,0.021681206
50785,0.020402596
50786,0.019143085
50787,0.017900873
50788,0.016640473
50789,0.015385453
50790,0.01412782
50791,0.012871667
50792,0.011723594
50793,0.010443935
50794,0.009386662
50795,0.008326117
50796,0.007331799
50797,0.006577731
50798,0.005985482
50799,0.005620756
50800,0.005672451
50801,0.00597154
50802,0.00653911
50803,0.00735195
50804,0.008301695
50805,0.009310488
50806,0.010457139
50807,0.011607315
50808,0.012808443
50809,0.01403521
50810,0.015263072
50811,0.016573574
50812,0.017751391
50813,0.019065131
50814,0.020331321
50815,0.021522793
50816,0.022809759
50817,0.02401416
